skill_name,skill_url
Portfolio Management,http://www.linkedin.com/skills/skill/Portfolio_Management
Quality Assurance,http://www.linkedin.com/skills/skill/Quality_Assurance
Business Change Management,http://www.linkedin.com/skills/skill/Business_Change_Management
Risk,http://www.linkedin.com/skills/skill/Risk
Software Quality Assurance,http://www.linkedin.com/skills/skill/Software_Quality_Assurance
Testing,http://www.linkedin.com/skills/skill/Testing
Manual Testing,http://www.linkedin.com/skills/skill/Manual_Testing
ISTQB Certified,http://www.linkedin.com/skills/skill/ISTQB_Certified
RQM,http://www.linkedin.com/skills/skill/RQM
Microsoft Test Manager,http://www.linkedin.com/skills/skill/Microsoft_Test_Manager
Web Design,http://www.linkedin.com/skills/skill/Web_Design
Multimedia,http://www.linkedin.com/skills/skill/Multimedia
UX,http://www.linkedin.com/skills/skill/UX
UI,http://www.linkedin.com/skills/skill/UI
Web,http://www.linkedin.com/skills/skill/Web
Tablet,http://www.linkedin.com/skills/skill/Tablet
Application Development,http://www.linkedin.com/skills/skill/Application_Development
Application Design,http://www.linkedin.com/skills/skill/Application_Design
Mobile Application Design,http://www.linkedin.com/skills/skill/Mobile_Application_Design
IP,http://www.linkedin.com/skills/skill/IP
Network Architecture,http://www.linkedin.com/skills/skill/Network_Architecture
Troubleshooting,http://www.linkedin.com/skills/skill/Troubleshooting
Service Development,http://www.linkedin.com/skills/skill/Service_Development
Operational Support,http://www.linkedin.com/skills/skill/Operational_Support
Internet Services,http://www.linkedin.com/skills/skill/Internet_Services
IPv6,http://www.linkedin.com/skills/skill/IPv6
Computer Network Operations,http://www.linkedin.com/skills/skill/Computer_Network_Operations
General Management,http://www.linkedin.com/skills/skill/General_Management
Sales and Marketing,http://www.linkedin.com/skills/skill/Sales_and_Marketing
Technology & Service Development,http://www.linkedin.com/skills/skill/Technology_&_Service_Development
Operational Support Systems,http://www.linkedin.com/skills/skill/Operational_Support_Systems
